Code,ArabicDescription,EnglishDescription,UOM,Price,Section
101000001,المسح الأرضي لمسارات الخطوط الرئيسية والتفريعات,"Field surveying of main  feeders, cables and branches routes (MV / LV,Transformers locations...etc ) specified by the Company .including site surveying to determine the best routes technically and economically, preparation of detailed topographical maps, showing all existing structures, roads, rail ways, mountains, wadis, networks of electricity,communication , water, petrol pipe lines ... etc. as per company requirements, with differnt scales as ( 1 : 10000 ) or ( 1 : 5000 ) or ( 1 : 2500 ) or (1:1000 ) and( 1 : 500 ) .The maps shall be submitted in hard copies as well as in e-copies, after final approval.the work includes determining the coordinates, data and images of equipment, cables, poles and meters in accordance with the Unified Database Model (UDM) and according to the approved spatial accuracy of no more than 25 cm and according to the company’s requirements, preparing lists of material quantities and pole types, placing a symbol key, providing a summary table for the entire path and obtaining the necessary R.O.W and permits from the relevant authorities.",KM,1690.0,المسح الهندسي
101000002,تحديد الإحداثيات لموقع معين,"Determination / marking of the coordinates for a specified location, including determination of location by concrete benchmark (20cm*20cm*50cm), 20cm depth with coloring the above part (30cm height fom ground level) and specify the coordination  using DGPS static method using Saudi Arabia National Spatial Reference System (SANSRS) maximum spatial accuraqcy 1cm, , prepare description cards to make it easy to reach",EA,700.0,عام
102000001,الرفع المساحي لمحطات التوزيع الرئيسية,Field survey and Conversion of Grid Stations (Location and Attributes/Image) should be collected and converted with its associated networks into GIS data as per the approved Unified Data Moudul (UDM),EA,137.0,عام
102000002,الرفع المساحي للمعدات الارضية,Field survey of UG equipment (Location and Attributes/Image) should be collected and converted into GIS as an electrical network ( Substations / Boundary - Transformer - LVDB - RMU - Distribution Box - Medium Voltage Switches),EA,35.0,أعمال التأريض
102000003,الرفع المساحي لعداد واحد,Field survey of a Customer Meter (Location and Attributes/Image) should be collected and then converteded with its Source of Supply (C2SOS) into GIS data as per the Approved Unified Data Moudul (UDM),EA,46.0,أعمال العدادات
102000004,الرفع المساحي للشبكات الهوائية شاملا رفع المعدات المركبة,Field survey of Overhead Networks with its Components (Location and Attributes/Image) should be collected and converted with its associated network into GIS data as per the approved Unified Data Moudul ( UDM ),KM,556.0,الشبكات الهوائية
102000005,الرفع المساحي للشبكات الهوائية بدون رفع المعدات المركبة,Field survey of Overhead Networks without its components (Location and Attributes/Image) should be collected and converted with its associated network into GIS data as per the approved Unified Data Moudul ( UDM ),KM,59.0,الشبكات الهوائية
102000006,الرفع المساحي للمعدات الهوائية,Field survey of overhead equipment (Location and Attributes/Image) should be collected and converted into GIS as part of the  electrical network,EA,35.0,الشبكات الهوائية
201010101,تركيب عمود حديدي <= 10م في تربة عادية/رملية,"Erection of steel pole, up to and including 10 meter, in normal / sandy soil",EA,1320.0,الأعمال المدنية
201010102,تركيب عمود حديدي <= 10 م في تربة صخرية,"Erection of steel  pole, up to and including 10 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))",EA,1637.0,الأعمال المدنية
201010103,تركيب عمود حديدي>10م<= 15م في تربة عادية/رملية,"Erection of steel pole, more than 10 meter up to and including 15 meter, in normal / sandy soil",EA,1573.0,الأعمال المدنية
201010104,تركيب عمود حديدي>10م<= 15م في تربة صخرية,"Erection of steel pole, more than 10 meter up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))",EA,1852.0,الأعمال المدنية
201010105,تركيب عمود حديدي >15م <=23م في تربة عادية/رملية,Erection of steel pole more than 15 meter up to and including 23 meter in normal / sandy soil,EA,1680.0,الأعمال المدنية
201010106,تركيب عمود حديدي >15م <=23م في تربة صخرية,Erection of steel pole more than 15 meter up to and including 23 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )),EA,2047.0,الأعمال المدنية
201010107,تركيب عمود حديدي >23م في تربة عادية/رملية,Erection of steel pole more than 23 meters in normal / sandy soil,EA,2136.0,الأعمال المدنية
201010108,تركيب عمود حديدي >23م في تربة صخرية,Erection of steel pole more than 23 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )),EA,2629.0,الأعمال المدنية
201010109,تركيب عمود حديدي ذاتي الدعم<=15م في تربة عادية/رملية,"Erection of Self support steel pole up to and including 15 meter, in normal / sandy soil",EA,1642.0,الأعمال المدنية
201010110,تركيب عمود حديدي ذاتي الدعم<=15م في تربة صخرية,"Erection of self support steel pole up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))",EA,1902.0,الأعمال المدنية
201010201,تركيب عمود خرساني<=10م في تربة عادية/رمليه,"Erection of concrete pole, up to and including 10 meter, in normal / sandy soil",EA,1284.0,الأعمال المدنية
201010202,تركيب عمود خرساني<=10م في تربة صخرية,"Erection of concrete  pole, up  to and including 10 meter, in  rocky  soil ( that required the use of rocky excavtion equipment ( ie. Digger ))",EA,1555.0,الأعمال المدنية
201010203,تركيب عمود خرساني>10م<= 15م في تربة عادية/رمليه,"Erection of concrete pole, more than 10 meter up to and including 15 meter, in normal / sandy soil.",EA,1499.0,الأعمال المدنية
201010204,تركيب عمود خرساني>10م<= 15م في تربة صخرية,"Erection of concrete pole, more than 10 meter up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))",EA,1750.0,الأعمال المدنية
201010205,تركيب عمود خرساني>15م<= 25م في تربة عادية/رمليه,Erection of concrete pole more than 15 meter up to and including 25 meter in normal / sandy soil,EA,1901.0,الأعمال المدنية
201010206,تركيب عمود خرساني>15م<= 25م في تربة صخرية,Erection of concrete pole more than 15 meter up to and including 25 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )),EA,2248.0,الأعمال المدنية
201010301,تركيب عمود جهد منخفض فايبر جلاس في تربة عادية/رمليه,"Erection of LV Fiber Glass pole, in normal / sandy soil",EA,988.0,الأعمال المدنية
201010302,تركيب عمود جهد منخفض فايبر جلاس في تربة صخرية,"Erection of LV Fiber Glass pole, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))",EA,1242.0,الأعمال المدنية
201020101,استبدال عمود حديدي<=10م في تربة عادية / رملية,"Replacement of steel pole up to and including 10 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1555.0,الأعمال المدنية
201020102,استبدال عمود حديدي<=10م في تربة صخرية,"Replacement of steel pole up to and including 10 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1787.0,الأعمال المدنية
201020103,استبدال عمود حديدي>10م<=15م في تربة عادية / رملية,"Replacement of steel  pole above 10 meter up to and including 15 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1753.0,الأعمال المدنية
201020104,استبدال عمود حديدي>10م<=15م في تربة صخرية,"Replacement of steel  pole above 10 meter up to and including 15 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,2099.0,الأعمال المدنية
201020105,استبدال عمود حديدي >15م<= 23م في تربة عادية / رملية,Replacement of steel pole more than 15 meter up to and including 23 meter in normal / sandy soil including disassembling / dismounting and reinstalling of pole-top assemblies and framing,EA,2004.0,الأعمال المدنية
201020106,استبدال عمود حديدي >15م<= 23م في تربة صخرية,Replacement of steel pole more than 15 meter up to and including 23 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including disassembling / dismounting and reinstalling of pole-top assemblies and framing,EA,2362.0,الأعمال المدنية
201020107,استبدال عمود حديدي>23م في تربة عادية / رملية,Replacement of steel pole more than 23 meter in normal / sandy soil including disassembling / dismounting and reinstalling of pole-top assemblies and framing,EA,2390.0,الأعمال المدنية
201020108,استبدال عمود حديدي>23م في تربة صخرية,Replacement of steel pole more than 23 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including disassembling / dismounting and reinstalling of pole-top assemblies and framing,EA,2855.0,الأعمال المدنية
201020109,استبدال عمود حديدي ذاتي الدعم <= 15م في تربة عادية / رملية,"Replacement of self support steel pole up to and including 15 meter, in normal / sandy soil including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1780.0,الأعمال المدنية
201020110,استبدال عمود حديدي ذاتي الدعم <= 15م في تربة صخرية,"Replacement of self support steel pole up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,2175.0,الأعمال المدنية
201020111,استبدال عمود خشبي بعمود حديدي<= 15م في تربة عادية / رملية,"Replacement of wooden pole with steel pole up to and including 15 meter, in normal / sandy soil including supplying and casting of the concrete foundation and disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1599.0,الأعمال المدنية
201020112,استبدال عمود خشبي بعمود حديدي<= 15م في تربة صخرية,"Replacement of wooden pole with steel pole up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including supplying and casting of the concrete foundation and disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1898.0,الأعمال المدنية
201020201,استبدال عمود خرساني<=10م في تربه عادية / رملية,"Replacement of concrete pole up to and including 10 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1547.0,الشبكات الهوائية
201020202,استبدال عمود خرساني<=10م في تربه صخرية,"Replacement of concrete pole up to and including 10 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1799.0,الشبكات الهوائية
201020203,استبدال عمود خرساني>10م<=15م في تربه عادية / رملية,"Replacement of concrete pole above 10 meter up to and including 15 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing.",EA,1714.0,الشبكات الهوائية
201020204,استبدال عمود خرساني>10م<=15م في تربه صخرية,"Replacement of concrete pole above 10 meter up to and including 15 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing.",EA,2015.0,الشبكات الهوائية
201020205,استبدال عمودخرساني>15م<=25م في تربه عادية / رملية,"Replacement of concrete pole more than 15 meter up to and including 25 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,2177.0,الشبكات الهوائية
201020206,استبدال عمودخرساني>15م<=25م في تربه صخرية,"Replacement of concrete pole more than 15 meter up to and including 25 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,2549.0,الشبكات الهوائية
201020207,استبدال عمود خشبي بعمود خرساني<= 15م في تربة عادية / رملية,"Replacement of wooden pole with concrete pole up to and including 15 meter, in normal / sandy soil including supplying and casting of the concrete foundation and disassembling / dismounting and reinstalling of pole-top assemblies and framing",EA,1587.0,الأعمال المدنية
