,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Riyadh City Electricity Department
Schedule ""C"" - Pricing Attachment",,,,,,RFx No. 4000069347,,
,,,,,,,,
??? ?????,??? ?????,?????????? ???????,?????????? ?????? ,??????,??????,??? ?????,??? ??????,??????
Item ,Line type ,Short Description ,Long Description,UOM ,Currency,Payment Type,Unit Price           ,QTY
A1,Description,"????? ?????? ????? ???????
","CONSTRUCTION AND MAINTENANCE OF DISTRIBUTION NETWORKS  
   Including providing all necessary manpower, equipment and tools to loading and transporting materials from any designated warehouse by company to work site and perform the work as per the scope of  work and companystandards including getting all required(R.O.W) and permissions to perform the required works and payment of related fees, preparing, updating and submitting of the drawings "" As Built "" on hard and electronic copies, including definition of coordinates, data and photos of related equipment, cables, poles and meters  with at least two digital photos of equpment using SEC unified geographical information system format (ArcGIS/ArcFM) and attributes compatible with Unified Data Model (UDM) and location accuracy of 25 cm and with full compliance of occupational safety and health requirements as per SEC requirments . The statement in this item is applied to all contract items mentioned blow
????? ?????? ????? ??????? 
 ???? ????? ???? ??????? ???????? ?????? ??????? ?????? ???? ?????? ?? ?? ?????? ????? ?????? ??? ???? ?????? ???????? ??? ???? ????? ???????? ?????? ????? ??? ??????? ???? ???????? ??????? ?????? ????? ??????? ???? ?????? ???????? ??? ? ?????? ?????? ?????? ???????? ??? ?? ?? ?????? ??? ?????? ??? ??? ????? ?????????? ? ????? ????? ???????? ??????? ???? ??????? ????????? ???????? ????????? ??? ???? ??? ????????? ????????? ??????? ???????? ?? ?????? (ArcGIS /ArcFM) ???? ?????? ?? ????? ????? ???????? ??????? ( UDM ) ???? ????? ???????? ???????? 25 ?? ??? ??????? ??????? ?? ?????? ??????? ??? ???? ??? ?????? ?? ???????? ????? ???????? ??????? ?????? ??????? ??? ??????? ??????? ???? ?? ??? ????? ????? ??? ?? ???? ??? ????? ???????? ?????",,,,,
100000000,Description,????? ????? ???? ????????? ????????? ,"SURVEYING AND GEOGRAPHICAL INFORMATION SYSTEM (GIS ) WORKS
????? ????? ???? ????????? ?????????  ",,,,,
101000000,Description,????? ?????,"SURVEYING WORKS 
                    Using up to date instruments as per SEC requirements such as (GPS and Total Station ...etc) to perform the required surveying works and preparation and submitting of detailed topographical maps as hard and electronic copies with scales determined by SEC and preparing lists of typs / quantities of materials considering the above description of construction and maintenance of distribution networks item No.( A1)
????? ?????
??????? ??????? ??????? ??? ??????? ?????? ??? ?? ?? ?? ?????? ????? ... ??? ? ?????? ??????? ???????? ???????? ?????? ??????? ??????????? ??????? ??? ??? ????? ????? ??? ????????? ??????? ????? ???? ?????? ?????? ?????? ????? ????? ?????? ????????, ?? ????? ????????? ????? ??????? ?? ????? ????? ??? ( A1 ) ????? ?????? ????? ???????",,,,,
101000001,Breakdown,????? ?????? ??????? ?????? ???????? ?????????? ,"Land  surveying of main lines and branches routes (MV / LV,Transformers locations...etc ) specified by the Company .including site surveying to determine the best routes, preparation of detailed topographical maps, showing all existing structures, roads, rail ways, mountains, wadis, networks of electricity,communication , water, petrol pipe lines ... etc. as per SEC requirements, with differnt scales as ( 1 : 10000 ) or ( 1 : 5000 ) or ( 1 : 2500 ) or (1:1000 ) and( 1 : 500 ) .The maps shall be submitted in hard copies as well as in e-copies, after final approval.stake angle poles in the line with coordinates, numbering and types of poles on drawings, preparation of bills for materials quantities, maps legend, submit Right Of Way from concerned utilities       
????? ?????? ??????? ?????? ???????? ?????????? (??? ????? / ????? ? ????? ????????...???) ???? ?????? ??????? ????? ??? ??????? ?????? ???? ???????? ???? ????????? ? ?????? ????? ????????? ????? ???? ?? ??????? ??????? ?????? ???? ???????? ??????? ???????? ?????? ??????? ??? ???????? ?????????? ??????? ????? ?????? ??????? ... ??? ??? ??????? ?????? ? ??????? ??? ??? ( ???? ??? ???? ???? - ???? ??? ???? ???? - ???? ??? ????? ???????? - ???? ??? ??? - ???? ??? ??????? ) ? ???? ??????? ??? ??? ????????? ?????? ??? ???????? ???????.????? ????? ???????? ??????? ???? ??????? ????????? ???????? ????????? ??? ?????? ?? ????? ????? ???????? ??????? ( UDM ) ???? ????? ???????? ???????? ??? ?? ???? ??25 ?? ???? ??????? ?????? ?????? ????? ????? ?????? ?????? ??????? ???? ????? ?????? ?????? ???? ???? ????? ?????? ??????? ??? ???????? ??????? ?? ?????? ??????? ",KM,SAR,Unit Rate,1527.00,
101000002,Breakdown,????? ?????????? ????? ????," Identification the coordinates of a specified location, including determination of location by concrete benchmark (20cm*20cm*50cm), 20cm depth with coloring the above part (30cm height  fom ground level) and specify the coordination download data in national geodesiy site by using static system, prepare description cards to make it easy to reach 
 ????? ?????????? ????? ???? ????? ????? ?????? ???? ????? ??????? ????? (20??*20??*50??) ??????? 30?? ??? ??? ????? ???? ???? ???? ???? ???? ?????????? ????? 20?? ,?????? ?????? ?????? ??????? ????????? ??????? ???????? ???? ????? ????? ?????? ?????? ???? ?????? ??????? ????? ?????? ?????",EA,SAR,Unit Rate,629.00,
102000000,Description,????? ??? ????????? ????????? ," GEOGRAPHICAL INFORMATION SYSTEM (GIS ) WORKS
Field Survey- With coordinates (XYZ) according to the accuracy specified by SEC requirements and not exceeding 25 cm - for all distribution networks starting from the Grid Station including all electricity network components like cables, transformers, substation, distribution boxes, meters, poles, etc. with the collection of attributes of these components according to SEC requirements with at least two photos of each equipment and conversion of those electrical data as per SEC approved UDM adopted by the Company considering the following:  
  For Underground network, the contractor shall do the field survey for all equipment of SEC network (above the ground) from site. and convert these field survey data into GIS and for the underground network all sources available ( digital - paper)  should be used to make a complete connected electrical network as per SEC approved UDM
  For Overhead network, the contractor shall do the field survey for all equipment of SEC network from site and conversion of this field survey into GIS to make a complete connected electrical network as per SEC approved UDM
  The contractor should arrange his manpower and equipment to complete one km/day of the medium voltage network
????? ??? ????????? ????????? ( GIS )
????? ??????? ????????? ( XYZ ) ??? ????? ???? ?????? ?????? ??? ?? ?????? 25 ?? - ?????? ??????? ?????? ?? ?????? ???????? ????? ???? ?????? ?????? ?? ???? ??????? ?????? ??????? ????? ??????? ????? ??? ??????? ?? ??? ???????? ?????? ???? ???????? ??? ??????? ?????? ??????? ??? ???? ??? ????? ? ??? ?????? ??? ???????? ??? ????? ??? ????????? ????????? ??????? ???????? ?? ?????? ?? ?????? ?????? :
  ???? ??? ?????? ??????? / ???? ??????? ?????? ??????? ??????? ? ???? ?????? ?????? (??? ?????) ?? ??????? ? ? ???  ??? ?? ??????? ??????? ?????? (??? ?????) ???????? ?????? ? ???? ?????? ?????????? ??????? ???????? ???? ??????? ?? ??????? ???????? ??????? (????? - ?????) ??? ????? ??? ????????? ????????? ???????? ?? ?????? .
 ???? ??? ?????? ???????? / ???? ??????? ?????? ??????? ?????? ????? ???????? ?? ??????? ??? ?? ???? ?????? ??? ????? ??? ????????? ????????? ???????? ?? ??????.
 ????? ??????? ?????? ?????????? ??????? ??????? ???????? ?????? ????? ????? ??? ?? ?????? ??? ??? ???? ??? ????? ????? ???????.",,,,,
102000001,Breakdown,????? ??????? ?????? ??????? ???????? ,"Field survey Conversion of Grid Stations (Location and Attributes/Image) should be collected and converted with its associated networks into GIS data as per the approved Unified Data Moudul (UDM) 
????? ??????? ?????? ??????? ???????? ??????? ??? ??? ????????? ????????? ????? ????????",EA,SAR,Unit Rate,120.00,
